id,qdc:qualifieddc,qdc:qualifieddc/dc:title,qdc:qualifieddc/dc:creator,qdc:qualifieddc/dc:subject,qdc:qualifieddc/dc:description,qdc:qualifieddc/dc:date,qdc:qualifieddc/dc:type,qdc:qualifieddc/dc:identifier,qdc:qualifieddc/dc:relation,qdc:qualifieddc/dc:rights,qdc:qualifieddc/dcterms:hasPart,qdc:qualifieddc/dcterms:hasVersion,date
oai:figshare.com:article/7737620,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:20Z
oai:figshare.com:article/7737623,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:20Z
oai:figshare.com:article/7737614,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:20Z
oai:figshare.com:article/7737611,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:20Z
oai:figshare.com:article/7737626,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:20Z
oai:figshare.com:article/7737602,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:19Z
oai:figshare.com:article/7737599,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:19Z
oai:figshare.com:article/7737590,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:19Z
oai:figshare.com:article/7737605,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:19Z
oai:figshare.com:article/7737596,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:19Z
oai:figshare.com:article/7737593,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:19Z
oai:figshare.com:article/7737578,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:18Z
oai:figshare.com:article/7737572,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:18Z
oai:figshare.com:article/7737584,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:18Z
oai:figshare.com:article/7737581,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:18Z
oai:figshare.com:article/7737587,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:18Z
oai:figshare.com:article/7737575,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:18Z
oai:figshare.com:article/7737563,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:17Z
oai:figshare.com:article/7737560,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:17Z
oai:figshare.com:article/7737569,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:17Z
oai:figshare.com:article/7737566,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:17Z
oai:figshare.com:article/7737554,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:17Z
oai:figshare.com:article/7737557,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:17Z
oai:figshare.com:article/7737542,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:16Z
oai:figshare.com:article/7737548,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:16Z
oai:figshare.com:article/7737545,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:16Z
oai:figshare.com:article/7737536,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:16Z
oai:figshare.com:article/7737551,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:16Z
oai:figshare.com:article/7737539,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:16Z
oai:figshare.com:article/7737533,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:15Z
oai:figshare.com:article/7737530,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:15Z
oai:figshare.com:article/7737527,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:15Z
oai:figshare.com:article/7737524,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:14Z
oai:figshare.com:article/7737515,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:14Z
oai:figshare.com:article/7737518,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:14Z
oai:figshare.com:article/7737521,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:14Z
oai:figshare.com:article/7737509,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:13Z
oai:figshare.com:article/7737506,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:13Z
oai:figshare.com:article/7737512,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:13Z
oai:figshare.com:article/7737503,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:13Z
oai:figshare.com:article/7737500,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:13Z
oai:figshare.com:article/7737497,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:13Z
oai:figshare.com:article/7737491,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:12Z
oai:figshare.com:article/7737485,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:12Z
oai:figshare.com:article/7737482,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:12Z
oai:figshare.com:article/7737488,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:12Z
oai:figshare.com:article/7737494,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:12Z
oai:figshare.com:article/7737479,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:11Z
oai:figshare.com:article/7737464,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:11Z
oai:figshare.com:article/7737473,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:11Z
oai:figshare.com:article/7737467,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:11Z
oai:figshare.com:article/7737476,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:11Z
oai:figshare.com:article/7737470,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:11Z
oai:figshare.com:article/7737449,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:10Z
oai:figshare.com:article/7737452,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:10Z
oai:figshare.com:article/7737458,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:10Z
oai:figshare.com:article/7737455,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:10Z
oai:figshare.com:article/7737461,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:10Z
oai:figshare.com:article/7737440,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:09Z
oai:figshare.com:article/7737437,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:09Z
oai:figshare.com:article/7737431,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:09Z
oai:figshare.com:article/7737443,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:09Z
oai:figshare.com:article/7737446,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:09Z
