id,resource,resource/identifier,resource/creators/creator/creatorName,resource/creators/creator/nameIdentifier,resource/titles/title,resource/publisher,resource/publicationYear,resource/subjects/subject,resource/dates/date,resource/language,resource/resourceType,resource/relatedIdentifiers/relatedIdentifier,resource/sizes/size,resource/formats/format,resource/rightsList/rights,resource/descriptions/description,resource/geoLocations/geoLocation/geoLocationBox,resource/contributors/contributor,resource/contributors/contributor/contributorName,resource/descriptions/description/br,resource/geoLocations/geoLocation/geoLocationPoint,date
oai:pangaea.de:doi:10.1594/PANGAEA.586856,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,2006
oai:pangaea.de:doi:10.1594/PANGAEA.586884,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,2007
oai:pangaea.de:doi:10.1594/PANGAEA.587447,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,2007
oai:pangaea.de:doi:10.1594/PANGAEA.587448,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,2007
oai:pangaea.de:doi:10.1594/PANGAEA.587449,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,2007
oai:pangaea.de:doi:10.1594/PANGAEA.587450,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,2005
oai:pangaea.de:doi:10.1594/PANGAEA.587840,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,2007
oai:pangaea.de:doi:10.1594/PANGAEA.587842,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1990
oai:pangaea.de:doi:10.1594/PANGAEA.587843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1991
oai:pangaea.de:doi:10.1594/PANGAEA.587844,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1991
oai:pangaea.de:doi:10.1594/PANGAEA.588236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1992
oai:pangaea.de:doi:10.1594/PANGAEA.588238,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1991
oai:pangaea.de:doi:10.1594/PANGAEA.596351,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,2007
oai:pangaea.de:doi:10.1594/PANGAEA.596352,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,2002
oai:pangaea.de:doi:10.1594/PANGAEA.601960,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2001
oai:pangaea.de:doi:10.1594/PANGAEA.601974,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1972
oai:pangaea.de:doi:10.1594/PANGAEA.602127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2007
oai:pangaea.de:doi:10.1594/PANGAEA.602289,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2007
oai:pangaea.de:doi:10.1594/PANGAEA.602431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2007
oai:pangaea.de:doi:10.1594/PANGAEA.603115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007
oai:pangaea.de:doi:10.1594/PANGAEA.603177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007
oai:pangaea.de:doi:10.1594/PANGAEA.603344,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2001
oai:pangaea.de:doi:10.1594/PANGAEA.603345,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1998
oai:pangaea.de:doi:10.1594/PANGAEA.603346,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1993
oai:pangaea.de:doi:10.1594/PANGAEA.603886,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2000
oai:pangaea.de:doi:10.1594/PANGAEA.603887,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1966
