id,resource,resource/identifier,resource/alternateIdentifiers/alternateIdentifier,resource/relatedIdentifiers/relatedIdentifier,resource/titles/title,resource/rights,resource/creators/creator/creatorName,resource/descriptions/description,resource/subjects/subject,resource/resourceType,resource/publicationYear,resource/publisher,resource/dates/date,resource/creators/creator/nameIdentifier,date
oai:figshare.com:article/7737635,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737632,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737641,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737644,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737638,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737629,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737608,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737617,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737620,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737614,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737611,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737623,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737626,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737602,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737599,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737596,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737590,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737605,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737593,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737578,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737572,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737581,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737584,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737575,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737587,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737563,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737560,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737569,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737566,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737554,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737557,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737542,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737548,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737536,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737545,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737551,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737539,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737533,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737530,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737527,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737524,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737515,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737518,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737521,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737506,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737512,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737509,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737503,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737500,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737497,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737491,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737485,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737482,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737488,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737494,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737479,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737464,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737473,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
