id,oai_datacite,oai_datacite/isReferenceQuality,oai_datacite/schemaVersion,oai_datacite/datacentreSymbol,oai_datacite/payload/resource,oai_datacite/payload/resource/identifier,oai_datacite/payload/resource/creators/creator/creatorName,oai_datacite/payload/resource/titles/title,oai_datacite/payload/resource/publisher,oai_datacite/payload/resource/publicationYear,oai_datacite/payload/resource/dates/date,oai_datacite/payload/resource/resourceType,oai_datacite/payload/resource/relatedIdentifiers/relatedIdentifier,oai_datacite/payload/resource/rightsList/rights,oai_datacite/payload/resource/descriptions/description,oai_datacite/payload/resource/subjects/subject,oai_datacite/payload/resource/creators/creator/affiliation,oai_datacite/payload/resource/language,oai_datacite/payload/resource/creators/creator/nameIdentifier,oai_datacite/payload/resource/version,oai_datacite/payload/resource/contributors/contributor,oai_datacite/payload/resource/contributors/contributor/contributorName,oai_datacite/payload/resource/contributors/contributor/nameIdentifier,date
oai:zenodo.org:898514,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:901705,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2013
oai:zenodo.org:898506,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:901744,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2012
oai:zenodo.org:903838,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:1138799,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1138805,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1139190,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1138685,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2010
oai:zenodo.org:1138809,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1138781,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1138783,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1138793,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1139262,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2010
oai:zenodo.org:1140090,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2010
oai:zenodo.org:1138785,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1138791,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1138795,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1138801,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1138757,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1138737,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1138749,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1138797,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1138751,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1138767,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1139738,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1140127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2018
oai:zenodo.org:1140125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2018
oai:zenodo.org:1140321,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1140317,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1139272,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2010
oai:zenodo.org:1139539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1139523,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1139535,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2018
oai:zenodo.org:1139533,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2018
oai:zenodo.org:1139702,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1139724,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1139782,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1139780,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1139784,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1139768,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1139774,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1139772,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1139995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1140005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1139999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1140007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1140251,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1140281,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:1140263,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
