id,oai_dc:dc,oai_dc:dc/dc:title,oai_dc:dc/dc:publisher,oai_dc:dc/dc:identifier,oai_dc:dc/dc:source,oai_dc:dc/dc:description,oai_dc:dc/dc:type,oai_dc:dc/dc:creator,oai_dc:dc/dc:date,oai_dc:dc/dc:language,oai_dc:dc/dc:format,oai_dc:dc/dc:subject,oai_dc:dc/dc:coverage,date
a6bed829-846c-4d0f-906b-1761bc1eaa93,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-08
6e3e08f6-fde6-4946-ba09-257f9b2f1036,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-08
710f3a9b-b0c8-4b40-9469-d7060071e23e,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-08
f4d1d4d5-e5dd-4ee2-8225-f3d82e019948,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
5ab060d1-dbcd-4fd3-9de0-751c6739d4f9,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
8357bd0a-8bd6-44ce-a448-74985e7d7293,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-08
e2a35bc5-0997-438b-accc-ace6aa80b3dc,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
fbef4e21-4b88-477f-8b57-cbfba43f1a07,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
94d2953d-0d95-4661-b9b3-a8854a453232,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
5298f536-a8f7-43a7-b6ea-a17f4feb8932,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
61d1cb94-3556-4b0d-95c6-02fff542f54c,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
3b456505-e03b-4408-995b-f3bbe0040bd6,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
24d38186-449b-4c9f-b63b-9a5c14548b12,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-07
038a8818-af12-4a9f-a6bd-772d8d79d68f,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-07
6ec3c7f5-6233-48f6-b36a-06b867edbadd,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-13
e082b10e-476f-43c1-aa61-f8d92f33029a,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-16
1d215bab-232f-4e0a-add3-c2959815f536,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-07
dedd0a3d-9e20-4381-b5e1-bb2909ef50ec,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-07
3191907d-0dc6-4c34-823e-440d30e52ca8,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-07
c47e7a5b-692d-4e26-a32f-74b0188eb594,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-13
c4a654a1-24ef-4e39-83f8-77817a593c27,1,1,1,1,1,1,1,1,0,1,1,0,1,2019-05-07T05:44:31Z_header
ab3bab2b-6bf0-4368-bb95-fb1fe0b900e2,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
f32a6f5a-0c9f-43c4-a273-4bc325ece96e,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
20ab611b-e7f3-4b2d-b87a-1c91e0861597,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
c784ba5b-491f-4d1d-8a44-0dc457889087,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-06
