id,rdf:RDF,rdf:RDF/ow:Publication,rdf:RDF/ow:Publication/dc:creator,rdf:RDF/ow:Publication/dc:date,rdf:RDF/ow:Publication/dc:identifier,rdf:RDF/ow:Publication/dc:description,rdf:RDF/ow:Publication/dc:language,rdf:RDF/ow:Publication/dc:relation,rdf:RDF/ow:Publication/dc:title,rdf:RDF/ow:Publication/dc:type,rdf:RDF/ow:Publication/dc:contributor,rdf:RDF/ow:Publication/dc:source,rdf:RDF/ow:Publication/dc:rights,rdf:RDF/ow:Publication/dc:publisher,rdf:RDF/ow:Publication/dc:coverage,rdf:RDF/ow:Publication/dc:subject,date
oai:secundus.datadryad.org:10255/dryad.109,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,2008-03-21T14:31:21Z
oai:secundus.datadryad.org:10255/dryad.110,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,2008-03-21T14:32:39Z
oai:secundus.datadryad.org:10255/dryad.111,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,2008-03-24T14:14:19Z
oai:secundus.datadryad.org:10255/dryad.112,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,2008-03-24T14:17:55Z
oai:secundus.datadryad.org:10255/dryad.113,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,2008-03-24T14:19:06Z
oai:secundus.datadryad.org:10255/dryad.114,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,2008-03-24T14:20:25Z
oai:secundus.datadryad.org:10255/dryad.115,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,2008-03-24T14:21:47Z
oai:secundus.datadryad.org:10255/dryad.116,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,2008-03-24T14:46:10Z
oai:secundus.datadryad.org:10255/dryad.117,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,2008-03-24T14:50:41Z
oai:secundus.datadryad.org:10255/dryad.118,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,2008-03-24T14:54:27Z
oai:secundus.datadryad.org:10255/dryad.119,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,2008-03-26T18:12:29Z
oai:secundus.datadryad.org:10255/dryad.121,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,2008-04-08T19:41:03Z
oai:secundus.datadryad.org:10255/dryad.120,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,2008-03-28T14:09:28Z
oai:secundus.datadryad.org:10255/dryad.122,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,2008-04-08T19:51:42Z
oai:secundus.datadryad.org:10255/dryad.123,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,2008-04-08T20:32:03Z
oai:secundus.datadryad.org:10255/dryad.124,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,2008-04-08T20:34:17Z
oai:secundus.datadryad.org:10255/dryad.125,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,2008-04-10T14:12:13Z
oai:secundus.datadryad.org:10255/dryad.126,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,2008-04-11T15:00:55Z
oai:secundus.datadryad.org:10255/dryad.127,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,2008-04-11T15:03:02Z
oai:secundus.datadryad.org:10255/dryad.128,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,2008-04-11T15:07:17Z
oai:secundus.datadryad.org:10255/dryad.131,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2008-04-29T14:10:38Z
oai:secundus.datadryad.org:10255/dryad.132,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-05-01T14:09:33Z
oai:secundus.datadryad.org:10255/dryad.133,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-05-05T13:46:10Z
oai:secundus.datadryad.org:10255/dryad.134,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-05-05T13:48:53Z
oai:secundus.datadryad.org:10255/dryad.135,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-05-05T13:50:29Z
oai:secundus.datadryad.org:10255/dryad.136,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-05-05T13:52:58Z
oai:secundus.datadryad.org:10255/dryad.137,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-05-05T13:54:14Z
oai:secundus.datadryad.org:10255/dryad.138,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-05-05T13:55:53Z
oai:secundus.datadryad.org:10255/dryad.139,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-05-05T14:02:17Z
oai:secundus.datadryad.org:10255/dryad.140,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-05-05T14:04:01Z
oai:secundus.datadryad.org:10255/dryad.141,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-05-05T14:06:47Z
oai:secundus.datadryad.org:10255/dryad.142,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-05-05T14:08:24Z
oai:secundus.datadryad.org:10255/dryad.143,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-05-05T14:11:01Z
oai:secundus.datadryad.org:10255/dryad.144,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-05-05T14:14:35Z
oai:secundus.datadryad.org:10255/dryad.145,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-05-05T14:21:36Z
oai:secundus.datadryad.org:10255/dryad.146,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-05-05T14:26:08Z
oai:secundus.datadryad.org:10255/dryad.147,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-05-05T14:27:32Z
oai:secundus.datadryad.org:10255/dryad.149,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,2008-05-30T02:38:06Z
oai:secundus.datadryad.org:10255/dryad.150,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,2008-05-30T02:43:10Z
oai:secundus.datadryad.org:10255/dryad.151,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,2008-05-30T02:54:45Z
oai:secundus.datadryad.org:10255/dryad.152,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,2008-05-30T03:00:17Z
oai:secundus.datadryad.org:10255/dryad.153,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,2008-05-30T13:06:54Z
oai:secundus.datadryad.org:10255/dryad.154,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,2008-05-30T13:10:52Z
oai:secundus.datadryad.org:10255/dryad.155,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-05-30T13:18:19Z
oai:secundus.datadryad.org:10255/dryad.156,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,2008-05-30T13:21:52Z
oai:secundus.datadryad.org:10255/dryad.157,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,2008-06-16T13:22:01Z
oai:secundus.datadryad.org:10255/dryad.158,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,2008-06-17T20:31:23Z
oai:secundus.datadryad.org:10255/dryad.159,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,2008-06-18T15:34:59Z
oai:secundus.datadryad.org:10255/dryad.160,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,2008-06-18T15:54:50Z
oai:secundus.datadryad.org:10255/dryad.161,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,2008-06-18T16:02:31Z
oai:secundus.datadryad.org:10255/dryad.162,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,2008-06-18T16:25:54Z
oai:secundus.datadryad.org:10255/dryad.163,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-07-28T19:37:15Z
oai:secundus.datadryad.org:10255/dryad.164,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2008-07-29T21:10:09Z
oai:secundus.datadryad.org:10255/dryad.165,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,2008-07-29T21:13:19Z
oai:secundus.datadryad.org:10255/dryad.166,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,2008-07-30T14:56:12Z
oai:secundus.datadryad.org:10255/dryad.167,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,2008-07-30T15:04:01Z
oai:secundus.datadryad.org:10255/dryad.168,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-07-30T21:17:22Z
