id,atom:entry,atom:entry/atom:id,atom:entry/atom:link,atom:entry/atom:published,atom:entry/atom:updated,atom:entry/atom:source/atom:generator,atom:entry/atom:title,atom:entry/atom:author/atom:name,atom:entry/atom:category,atom:entry/oreatom:triples/rdf:Description,atom:entry/oreatom:triples/rdf:Description/rdf:type,atom:entry/oreatom:triples/rdf:Description/dcterms:modified,atom:entry/oreatom:triples/rdf:Description/dcterms:description,date
oai:secundus.datadryad.org:10255/dryad.119,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:27.950+00:00
oai:secundus.datadryad.org:10255/dryad.121,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:27.952+00:00
oai:secundus.datadryad.org:10255/dryad.120,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:27.958+00:00
oai:secundus.datadryad.org:10255/dryad.122,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:27.960+00:00
oai:secundus.datadryad.org:10255/dryad.123,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:27.965+00:00
oai:secundus.datadryad.org:10255/dryad.124,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:27.966+00:00
oai:secundus.datadryad.org:10255/dryad.125,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:27.972+00:00
oai:secundus.datadryad.org:10255/dryad.126,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:27.974+00:00
oai:secundus.datadryad.org:10255/dryad.127,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:27.979+00:00
oai:secundus.datadryad.org:10255/dryad.128,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:27.982+00:00
oai:secundus.datadryad.org:10255/dryad.131,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:27.985+00:00
oai:secundus.datadryad.org:10255/dryad.132,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:27.990+00:00
oai:secundus.datadryad.org:10255/dryad.133,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:27.993+00:00
oai:secundus.datadryad.org:10255/dryad.134,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:27.996+00:00
oai:secundus.datadryad.org:10255/dryad.135,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.005+00:00
oai:secundus.datadryad.org:10255/dryad.136,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.009+00:00
oai:secundus.datadryad.org:10255/dryad.137,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.012+00:00
oai:secundus.datadryad.org:10255/dryad.138,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.015+00:00
oai:secundus.datadryad.org:10255/dryad.139,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.018+00:00
oai:secundus.datadryad.org:10255/dryad.140,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.021+00:00
oai:secundus.datadryad.org:10255/dryad.141,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.024+00:00
oai:secundus.datadryad.org:10255/dryad.142,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.027+00:00
oai:secundus.datadryad.org:10255/dryad.143,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.030+00:00
oai:secundus.datadryad.org:10255/dryad.144,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.033+00:00
oai:secundus.datadryad.org:10255/dryad.145,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.035+00:00
oai:secundus.datadryad.org:10255/dryad.146,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.038+00:00
oai:secundus.datadryad.org:10255/dryad.147,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.041+00:00
oai:secundus.datadryad.org:10255/dryad.149,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.044+00:00
oai:secundus.datadryad.org:10255/dryad.150,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:28.054+00:00
oai:secundus.datadryad.org:10255/dryad.151,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.056+00:00
oai:secundus.datadryad.org:10255/dryad.152,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:28.060+00:00
oai:secundus.datadryad.org:10255/dryad.153,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.062+00:00
oai:secundus.datadryad.org:10255/dryad.154,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:28.065+00:00
oai:secundus.datadryad.org:10255/dryad.155,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.067+00:00
oai:secundus.datadryad.org:10255/dryad.156,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:28.071+00:00
oai:secundus.datadryad.org:10255/dryad.157,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:28.073+00:00
oai:secundus.datadryad.org:10255/dryad.158,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.075+00:00
oai:secundus.datadryad.org:10255/dryad.159,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:28.081+00:00
oai:secundus.datadryad.org:10255/dryad.160,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.083+00:00
oai:secundus.datadryad.org:10255/dryad.161,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.090+00:00
oai:secundus.datadryad.org:10255/dryad.162,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:28.095+00:00
oai:secundus.datadryad.org:10255/dryad.163,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.097+00:00
